Gene	Degree	Exp	Low	High	Sum	Avg
AT3G21640	6	11.4141	1.9056	18.9856	68.90883	11.484805
AT4G09580	6	5.3106	0.872886	37.9672	57.755656	11.5511312
AT4G14950	6	5.89882	0.872886	37.9672	57.755656	11.5511312
AT1G49590	6	10.6867	1.68011	35.1242	69.3297	11.55495
AT5G62260	6	0.330869	4.99548	17.5789	58.19838	11.639676
AT5G16080	6	3.60212	1.78076	35.1242	58.84822	11.769644
AT3G59060	6	43.8618	0.681293	37.5252	71.320023	11.8866705
AT2G24590	6	29.4654	2.49762	21.9233	72.11334	12.01889
AT3G29034	6	0.895532	0.872886	37.9672	72.529576	12.0882626667
AT5G08720	6	17.7017	4.88427	28.1128	73.18209	12.197015
AT2G17770	6	0.172197	0.700647	35.1671	36.665328	12.221776
AT1G29120	6	11.6887	3.29879	40.4341	73.61507	12.2691783333
AT5G58140	6	44.5553	0.207116	34.8309	37.234836	12.411612
AT2G39960	6	24.8273	0.872886	27.5999	62.183706	12.4367412
AT3G54020	6	2.6695	0.872886	37.9672	62.881366	12.5762732
AT4G01480	6	10.2013	0.415554	47.7154	62.992574	12.5985148
AT4G05400	6	16.3986	2.58642	35.1242	75.78996	12.63166
AT1G53090	6	3.8573	8.40115	21.3259	51.18201	12.7955025
AT4G17340	6	56.42	0.872886	37.9672	64.451786	12.8903572
AT1G01510	6	12.3608	2.31318	39.8286	51.91346	12.978365
AT5G56020	6	7.0283	1.13151	37.9672	78.96616	13.1610266667
AT1G28200	6	20.969	2.54467	36.602	79.29095	13.2151583333
AT4G04950	6	16.0489	0.604642	21.0765	53.212942	13.3032355
AT3G57870	6	121.18	3.06038	26.1784	80.36102	13.3935033333
AT4G37790	6	5.40234	2.67876	38.095	81.41091	13.568485
AT2G40670	6	8.68941	0.695816	43.4563	82.716996	13.786166
AT2G02990	6	1.62424	0.872886	37.9672	84.498536	14.0830893333
AT5G67620	6	0.438671	4.71845	35.1242	84.73853	14.1230883333
AT1G77400	6	2.21912	3.05285	40.4341	88.63592	14.7726533333
AT1G54140	6	13.8141	5.01177	32.7858	74.49241	14.898482
AT3G07500	6	2.10618	0.749269	27.015	92.791009	15.4651681667
AT5G42080	6	47.2518	5.49646	28.8803	61.95396	15.48849
AT3G63200	6	16.0118	0.872886	37.9672	77.723026	15.5446052
AT2G22680	6	0.865454	0.207116	55.1872	93.416086	15.5693476667
AT5G13930	6	143.243	0.412728	30.4453	93.972372	15.662062
AT3G53260	6	49.4127	2.23254	53.5775	62.73496	15.68374
AT5G57860	6	8.25696	0.071925	45.6695	79.480435	15.896087
AT2G43510	6	17.1957	1.74879	37.9672	80.22825	16.04565
AT2G46830	6	11.8656	11.3224	23.3113	64.7224	16.1806
AT2G37040	6	40.0898	2.23254	53.5775	67.0318	16.75795
AT2G18350	6	3.09706	9.16837	27.3672	85.95817	17.191634
AT3G13990	6	12.0747	7.07831	31.4208	107.29291	17.8821516667
AT1G75880	6	2.79736	0.493599	46.1691	107.381645	17.8969408333
AT1G43700	6	18.1964	7.95684	33.3162	72.00794	18.001985
AT2G22490	6	9.40373	5.4987	47.8501	108.41007	18.068345
AT3G06540	6	7.19258	5.49135	47.6111	110.21374	18.3689566667
AT4G31800	6	6.99036	2.1641	65.646	73.79391	18.4484775
AT2G45920	6	3.14782	1.15268	44.8352	111.80443	18.6340716667
AT3G62800	6	6.94524	2.09966	42.43	75.58369	18.8959225
AT1G55520	6	10.8957	3.50317	62.7013	117.1104	19.5184
AT5G44090	6	7.80303	4.2409	40.1835	117.84768	19.64128
AT2G39740	6	5.81922	8.3365	39.5182	118.24505	19.7075083333
AT3G25882	6	9.15143	9.30929	38.095	118.27419	19.712365
AT4G11280	6	5.44429	0.257	65.646	78.87238	19.718095
AT5G56580	6	4.43216	0.711564	65.1628	121.941154	20.3235256667
AT2G25650	6	9.74018	1.20575	45.7309	122.39935	20.3998916667
AT2G26990	6	17.3697	10.2592	44.7595	123.4187	20.5697833333
AT2G23380	6	4.21861	8.14146	65.646	102.8503	20.57006
AT5G25890	6	2.62924	0.834318	46.713	123.908008	20.6513346667
AT3G49250	6	2.98873	1.43446	79.9647	127.0249	21.1708166667
AT4G32660	6	11.6364	0.589052	36.4518	127.259692	21.2099486667
AT5G09450	6	6.1905	3.01799	79.9647	129.76016	21.6266933333
AT1G60920	6	0.176179	0.0827916	65.1628	65.5571966	21.8523988667
AT2G34720	6	16.2298	2.58642	68.7605	131.28096	21.88016
AT1G70660	6	29.7168	0.872886	60.4814	138.088746	23.014791
AT2G03870	6	22.181	2.69403	45.6695	138.87273	23.145455
AT2G32160	6	4.95544	7.44221	55.1229	115.80941	23.161882
AT1G75820	6	10.3756	2.83169	65.646	73.97444	24.6581466667
